request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ad336c0a67b90bb5	af7f0cb53df316bb	af7f0cb53df316bb	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	3deb19c6cfa4bb3d	3af71ac8eb9e47c6	3af71ac8eb9e47c6	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	f5ba52502b945cd3	8a5a94f83c322d07	8a5a94f83c322d07	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f4764623f3a8ec87	ed98091e663efe53	ed98091e663efe53	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	515b043547d97b5d	c36d3c170e29cdea	c36d3c170e29cdea	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	e4f6ad925e83f443	0f172cc5629980f3	0f172cc5629980f3	yes	yes
9	351	33	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	ae61c9b5c1b46b70	8ccf8891438bd1cb	8ccf8891438bd1cb	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	fcdea229616162ff	8e4f85d9c4e73459	8e4f85d9c4e73459	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ff0d761d3e486875	db95fac0fa14db6d	db95fac0fa14db6d	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	bd3995f2933a263a	1509cb1960750bd9	1509cb1960750bd9	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	71c64c6315bc5195	c6efb67ac2ea88a0	c6efb67ac2ea88a0	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	ee90bd96a7183205	ffb3ed18445b8ac6	ffb3ed18445b8ac6	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	40a4c6aab24e6401	ba25108082b4f00c	ba25108082b4f00c	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	4283fcea43a2e50d	d6c2d60e7dbe66e0	d6c2d60e7dbe66e0	yes	yes
9	351	34	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	7524d0c3f78c7656	803700336964bad1	803700336964bad1	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	59a01db08c673a05	7d7b1cbbd2f5acd9	7d7b1cbbd2f5acd9	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	43a997af5f812639	9ae5cc1c5d736bd4	9ae5cc1c5d736bd4	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	c126d227172dc410	78e8b72482876bfe	78e8b72482876bfe	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	b43bd2f5fc90cf22	e71a601881707111	e71a601881707111	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f28230533ed07a8b	eecce8e46d7c0d07	eecce8e46d7c0d07	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	b3e68e8300b769f1	4166f8ced7af82b4	4166f8ced7af82b4	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	433df68da1af979d	8e591f805b1e69ce	8e591f805b1e69ce	yes	yes
9	351	35	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	4b272a53976f4388	d523ba29c5d2ecee	d523ba29c5d2ecee	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	f8b445166f401715	a38826304e61fb28	a38826304e61fb28	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	bae2a3d32d1c4dff	4d68e178842cd433	4d68e178842cd433	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	4300e016de6a9f5f	567c749e60d719e2	567c749e60d719e2	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	fe04e7c225f6f69a	f09d94f7b3c6696e	f09d94f7b3c6696e	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	19cb155e304ca2d5	370f7e7c9f6ae045	370f7e7c9f6ae045	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	172faa9f78e12775	b25c754030279d66	b25c754030279d66	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	038e355fed147a19	792842d7077c4057	792842d7077c4057	yes	yes
9	351	36	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	a9ff365b755c01f4	684a72593b5ee63e	684a72593b5ee63e	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	056235270540b8c6	fff9bc38066f9ee1	fff9bc38066f9ee1	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	522338569c4649d5	3f305f87ef115f49	3f305f87ef115f49	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	692b1d8fce0ed054	4ff21bdd20edd1cd	4ff21bdd20edd1cd	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	0271e3a400d94b0e	d5ddb47430251016	d5ddb47430251016	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	50a459d2e2edda09	fbc1f90c6217ebc5	fbc1f90c6217ebc5	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	d666c362c507cd49	dfbced1e893d2358	dfbced1e893d2358	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	d003149e64a6b2de	8abb8e0231ab5d4d	8abb8e0231ab5d4d	yes	yes
9	351	37	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	2ea8260932b53062	785a8b0e7b5230dd	785a8b0e7b5230dd	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	1	mtmd_embd_dev	0	32	234	0	0	131072	device	CUDA0	0	6d3d4efaab7ee397	4456b57d5192de13	4456b57d5192de13	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	2	mtmd_embd_dev	32	32	234	32	131072	262144	device	CUDA0	32	326f471433d28201	05b8432755ce648c	05b8432755ce648c	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	3	mtmd_embd_dev	64	32	234	64	262144	393216	device	CUDA0	64	9c60aa34147de558	5201659e829536c4	5201659e829536c4	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	4	mtmd_embd_dev	96	32	234	96	393216	524288	device	CUDA0	96	6c05e9b2d7db0d91	c5db8652b796da80	c5db8652b796da80	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	5	mtmd_embd_dev	128	32	234	128	524288	655360	device	CUDA0	128	71f3df6ab1a6f15b	877e052411477711	877e052411477711	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	6	mtmd_embd_dev	160	32	234	160	655360	786432	device	CUDA0	160	d2dc565d5f1c9d14	d9a10660ef2e9c4e	d9a10660ef2e9c4e	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	7	mtmd_embd_dev	192	32	234	192	786432	917504	device	CUDA0	192	bcd617cc143f6904	45d24d89a4c651f3	45d24d89a4c651f3	yes	yes
9	351	38	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	8	mtmd_embd_dev	224	10	234	224	917504	958464	device	CUDA0	224	f455c0cd1e36c7da	dec505f5ec4dba02	dec505f5ec4dba02	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	9948f132a656b8db	f748f22a21acef56	f748f22a21acef56	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ba0894dd0638f998	3a2e6c5711e92580	3a2e6c5711e92580	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	787b22ffe7a83c79	91d356265d9fd723	91d356265d9fd723	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	86083c49ac190551	628e3a5cefc4ca0e	628e3a5cefc4ca0e	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	b4035b275d6d5221	d6d7207ca6424f06	d6d7207ca6424f06	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	2f3807aa3c6dd307	9d97a3492fd4f622	9d97a3492fd4f622	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	0deff41e41a6ea43	c17c13295c0642e7	c17c13295c0642e7	yes	yes
10	408	39	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	6e1ed8908ec0d7a5	ced7c2dc620c395a	ced7c2dc620c395a	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	beed13b645ce727f	2ff7057d93e7ce83	2ff7057d93e7ce83	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ad336c0a67b90bb5	af7f0cb53df316bb	af7f0cb53df316bb	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	3deb19c6cfa4bb3d	3af71ac8eb9e47c6	3af71ac8eb9e47c6	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	f5ba52502b945cd3	8a5a94f83c322d07	8a5a94f83c322d07	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f4764623f3a8ec87	ed98091e663efe53	ed98091e663efe53	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	515b043547d97b5d	c36d3c170e29cdea	c36d3c170e29cdea	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	e4f6ad925e83f443	0f172cc5629980f3	0f172cc5629980f3	yes	yes
10	408	40	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	ae61c9b5c1b46b70	8ccf8891438bd1cb	8ccf8891438bd1cb	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	fcdea229616162ff	8e4f85d9c4e73459	8e4f85d9c4e73459	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ff0d761d3e486875	db95fac0fa14db6d	db95fac0fa14db6d	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	bd3995f2933a263a	1509cb1960750bd9	1509cb1960750bd9	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	71c64c6315bc5195	c6efb67ac2ea88a0	c6efb67ac2ea88a0	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	ee90bd96a7183205	ffb3ed18445b8ac6	ffb3ed18445b8ac6	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	40a4c6aab24e6401	ba25108082b4f00c	ba25108082b4f00c	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	4283fcea43a2e50d	d6c2d60e7dbe66e0	d6c2d60e7dbe66e0	yes	yes
10	408	41	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	7524d0c3f78c7656	803700336964bad1	803700336964bad1	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	59a01db08c673a05	7d7b1cbbd2f5acd9	7d7b1cbbd2f5acd9	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	43a997af5f812639	9ae5cc1c5d736bd4	9ae5cc1c5d736bd4	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	c126d227172dc410	78e8b72482876bfe	78e8b72482876bfe	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	b43bd2f5fc90cf22	e71a601881707111	e71a601881707111	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f28230533ed07a8b	eecce8e46d7c0d07	eecce8e46d7c0d07	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	b3e68e8300b769f1	4166f8ced7af82b4	4166f8ced7af82b4	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	433df68da1af979d	8e591f805b1e69ce	8e591f805b1e69ce	yes	yes
10	408	42	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	4b272a53976f4388	d523ba29c5d2ecee	d523ba29c5d2ecee	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	f8b445166f401715	a38826304e61fb28	a38826304e61fb28	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	bae2a3d32d1c4dff	4d68e178842cd433	4d68e178842cd433	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	4300e016de6a9f5f	567c749e60d719e2	567c749e60d719e2	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	fe04e7c225f6f69a	f09d94f7b3c6696e	f09d94f7b3c6696e	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	19cb155e304ca2d5	370f7e7c9f6ae045	370f7e7c9f6ae045	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	172faa9f78e12775	b25c754030279d66	b25c754030279d66	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	038e355fed147a19	792842d7077c4057	792842d7077c4057	yes	yes
10	408	43	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	a9ff365b755c01f4	684a72593b5ee63e	684a72593b5ee63e	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	056235270540b8c6	fff9bc38066f9ee1	fff9bc38066f9ee1	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	522338569c4649d5	3f305f87ef115f49	3f305f87ef115f49	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	692b1d8fce0ed054	4ff21bdd20edd1cd	4ff21bdd20edd1cd	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	0271e3a400d94b0e	d5ddb47430251016	d5ddb47430251016	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	50a459d2e2edda09	fbc1f90c6217ebc5	fbc1f90c6217ebc5	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	d666c362c507cd49	dfbced1e893d2358	dfbced1e893d2358	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	d003149e64a6b2de	8abb8e0231ab5d4d	8abb8e0231ab5d4d	yes	yes
10	408	44	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	2ea8260932b53062	785a8b0e7b5230dd	785a8b0e7b5230dd	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	1	mtmd_embd_dev	0	32	234	0	0	131072	device	CUDA0	0	6d3d4efaab7ee397	4456b57d5192de13	4456b57d5192de13	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	2	mtmd_embd_dev	32	32	234	32	131072	262144	device	CUDA0	32	326f471433d28201	05b8432755ce648c	05b8432755ce648c	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	3	mtmd_embd_dev	64	32	234	64	262144	393216	device	CUDA0	64	9c60aa34147de558	5201659e829536c4	5201659e829536c4	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	4	mtmd_embd_dev	96	32	234	96	393216	524288	device	CUDA0	96	6c05e9b2d7db0d91	c5db8652b796da80	c5db8652b796da80	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	5	mtmd_embd_dev	128	32	234	128	524288	655360	device	CUDA0	128	71f3df6ab1a6f15b	877e052411477711	877e052411477711	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	6	mtmd_embd_dev	160	32	234	160	655360	786432	device	CUDA0	160	d2dc565d5f1c9d14	d9a10660ef2e9c4e	d9a10660ef2e9c4e	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	7	mtmd_embd_dev	192	32	234	192	786432	917504	device	CUDA0	192	bcd617cc143f6904	45d24d89a4c651f3	45d24d89a4c651f3	yes	yes
10	408	45	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	8	mtmd_embd_dev	224	10	234	224	917504	958464	device	CUDA0	224	f455c0cd1e36c7da	dec505f5ec4dba02	dec505f5ec4dba02	yes	yes
10	408	46	device	0	af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855	2	1	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	89585dc1e149a8cb	3e55d928381bef4c	3e55d928381bef4c	yes	yes
